#,TRADING CODE,LTP*,HIGH,LOW,CLOSEP*,YCP*,CHANGE,TRADE,VALUE (mn),VOLUME
135,FINEFOODS,195.7,196.9,193.4,0,193.1,2.6,307,4.775,"24,385"
136,FIRSTFIN,3.4,3.5,3.4,0,3.5,-0.1,11,0.17,"50,000"
137,FIRSTSBANK,4.9,4.9,4.9,0,4.9,0,42,0.474,"96,765"
138,FORTUNE,19.1,19.4,19,0,18.8,0.3,234,3.163,"165,021"
139,FUWANGCER,13.9,14.1,13.9,0,13.8,0.1,92,2.012,"143,607"
140,FUWANGFOOD,16.4,16.5,16.2,0,16.1,0.3,370,12.371,"754,969"
141,GBBPOWER,7.9,7.9,7.9,0,7.7,0.2,1,0,5
142,GEMINISEA,155.8,158,153.4,0,154.8,1,154,2.192,"13,946"
143,GENEXIL,25.8,26,25.6,0,25.5,0.3,38,0.494,"19,077"
144,GENNEXT,3.1,3.2,3.1,0,3.1,0,18,0.042,"13,394"
145,GHAIL,12.8,12.9,12.5,0,12.4,0.4,113,3.397,"266,803"
146,GHCL,21.8,22.8,21.8,0,22,-0.2,12,0.027,"1,221"
147,GIB,3.9,4,3.9,0,3.9,0,23,0.131,"33,269"
148,GLDNJMF,7.9,7.9,7.8,0,7.7,0.2,26,0.659,"84,161"
149,GLOBALINS,22.9,23.1,22.5,0,22.2,0.7,18,0.325,"14,172"
150,GOLDENSON,13.5,13.7,13.3,0,13.4,0.1,130,4.713,"349,380"
151,GP,327.3,330,326.8,0,326.8,0.5,123,4.116,"12,528"
152,GPHISPAT,21.2,21.2,20.9,0,21,0.2,86,1.516,"72,193"
153,GQBALLPEN,155,155.1,151.1,0,153.1,1.9,3,0.742,"4,900"
154,GRAMEENS2,13.2,13.2,13.2,0,13.1,0.1,8,0.211,"16,000"
155,GREENDELMF,0,0,0,0,3.3,--,0,0,0
156,GREENDELT,44.3,44.3,44.2,0,44,0.3,6,0.058,"1,315"
157,GSPFINANCE,6.1,6.1,6.1,0,6,0.1,4,0.012,"2,000"
158,HAKKANIPUL,67.3,68,66.6,0,67.6,-0.3,721,19.774,"293,793"
159,HAMI,100,104,99.8,0,96.6,3.4,154,1.202,"11,958"
160,HEIDELBCEM,213,213,212.9,0,208.7,4.3,3,0.003,16
161,HFL,11.3,11.3,11.1,0,11.2,0.1,27,0.312,"27,746"
162,HRTEX,40.5,41.3,40.2,0,40.5,0,409,10.268,"251,677"
163,HWAWELLTEX,41.4,41.4,41.4,0,41.3,0.1,1,0,10
164,IBNSINA,291,291,291,0,291.4,-0.4,3,0.012,40
165,IBP,12.3,12.5,12.1,0,12.2,0.1,306,8.731,"707,456"
166,ICB,52,52.3,51.9,0,51.8,0.2,41,1.106,"21,228"
167,ICB3RDNRB,4.5,4.5,4.4,0,4.4,0.1,8,1.628,"370,001"
168,ICBAGRANI1,6.4,6.4,6.4,0,6.2,0.2,2,0,51
169,ICBAMCL2ND,0,0,0,0,6,--,0,0,0
170,ICBEPMF1S1,5,5,5,0,4.9,0.1,2,0.01,"2,000"
171,ICBIBANK,3,3,2.9,0,2.9,0.1,11,0.451,"150,468"
172,ICBSONALI1,5.9,6,5.9,0,5.8,0.1,21,0.244,"41,170"
173,ICICL,21.2,21.8,20.8,0,20.9,0.3,49,0.325,"15,216"
174,IDLC,31.3,31.7,31,0,30.7,0.6,24,0.069,"2,218"
175,IFADAUTOS,24,24,23.8,0,23.8,0.2,23,0.076,"3,199"
176,IFIC,7.2,7.3,7.1,0,7.2,0,94,5.236,"726,660"
177,IFIC1STMF,0,0,0,0,3.1,--,0,0,0
178,IFILISLMF1,0,0,0,0,4.2,--,0,0,0
179,ILFSL,3.7,3.7,3.5,0,3.7,0,16,0.206,"57,762"
180,INDEXAGRO,67,68.3,67,0,66.9,0.1,26,0.202,"2,973"
181,INTECH,23.1,23.5,22.8,0,22.9,0.2,216,1.974,"85,072"
182,INTRACO,21.6,21.7,21.5,0,21.5,0.1,130,3.884,"179,862"
